Cuenta,Nombre_Cuenta,Ano,Mes,Tiempo,Semestre,Trimestre,Activa,Reactiva,Relacion,Cumple,Cumple_bin,Pago,Temperatura,Vacaciones,Excedente
167385482,Central_2,2024,11,35,2,4,119016,62057,0.5214172884318075,No,0,85896420,27.575,0,4334.239999999998
167385482,Central_2,2024,12,36,2,4,61770,35859,0.5805245264691598,No,0,52199230,27.8675067204301,1,5900.549999999999
167385482,Central_2,2025,1,37,1,1,68375,42625,0.623400365630713,No,0,53110580,28.4809475806451,1,9463.125
167385482,Central_2,2025,2,38,1,1,123614,63175,0.5110667076544728,No,0,94217450,28.0261904761904,0,3222.209999999999
167385482,Central_2,2025,3,39,1,1,118890,60850,0.5118176465640508,No,0,92699280,27.3907930107528,0,3188.3499999999985
167385482,Central_2,2025,4,40,1,2,106458,53607,0.5035506960491462,No,0,86821200,27.6582175925927,0,1974.8700000000026
167385482,Central_2,2025,5,41,1,2,120812,60887,0.5039813925768963,No,0,101802500,27.4926523297491,0,2293.1800000000003
167385482,Central_2,2025,6,42,1,2,54586,1187,0.02174550250980105,Sí,1,42689470,27.6680555555555,1,0
167385482,Central_2,2025,7,43,2,3,75112,861,0.01146288209606987,Sí,1,60532700,28.7328853046594,1,0
167385482,Central_2,2025,8,44,2,3,124040,62065,0.5003627861980007,No,0,95498920,28.9784050179211,0,1905.5999999999985
357154485,Central_5,2022,1,1,1,1,260,100,0.38461538461538464,Sí,1,188690,27.9550595238095,1,0
357154485,Central_5,2022,2,2,1,1,940,580,0.6170212765957447,No,0,698600,27.5989211309524,0,124.10000000000002
357154485,Central_5,2022,3,3,1,1,1180,1100,0.9322033898305084,No,0,947350,27.2953293010752,0,527.7
357154485,Central_5,2022,4,4,1,2,1500,1300,0.8666666666666667,No,0,1203280,27.4437847222222,0,572.5
357154485,Central_5,2022,5,5,1,2,1660,1680,1.0120481927710843,No,0,1413940,27.4693548387097,0,874.9
357154485,Central_5,2022,6,6,1,2,1280,1500,1.171875,No,0,1166200,26.9806597222222,1,879.2
357154485,Central_5,2022,7,7,2,3,1020,1360,1.3333333333333333,No,0,973190,27.4723118279569,1,865.3
357154485,Central_5,2022,8,8,2,3,840,1360,1.619047619047619,No,0,871950,28.766061827957,0,952.6
357154485,Central_5,2022,9,9,2,3,1180,2660,2.2542372881355934,No,0,1431330,28.1711458333334,0,2087.7
357154485,Central_5,2022,10,10,2,4,1060,1740,1.6415094339622642,No,0,1173180,27.3299059139785,0,1225.9
357154485,Central_5,2022,11,11,2,4,860,1900,2.2093023255813953,No,0,1082140,26.8700694444445,0,1482.9
357154485,Central_5,2022,12,12,2,4,780,1080,1.3846153846153846,No,0,822980,27.2946908602151,1,701.7
357154485,Central_5,2023,1,13,1,1,320,700,2.1875,No,0,397320,26.8767809139784,1,544.8
357154485,Central_5,2023,2,14,1,1,820,1240,1.5121951219512195,No,0,881880,28.8405133928571,0,842.3
357154485,Central_5,2023,3,15,1,1,1000,1620,1.62,No,0,1118710,27.2683467741935,0,1135
357154485,Central_5,2023,4,16,1,2,660,1220,1.8484848484848484,No,0,798830,27.4665972222222,0,899.9000000000001
357154485,Central_5,2023,5,17,1,2,760,1720,2.263157894736842,No,0,999230,28.4166666666666,0,1351.4
357154485,Central_5,2023,6,18,1,2,460,1900,4.130434782608695,No,0,798940,28.9079861111111,1,1676.9
357154485,Central_5,2023,7,19,2,3,140,320,2.2857142857142856,No,0,185290,29.0793346774194,1,252.10000000000002
357154485,Central_5,2023,8,20,2,3,900,6340,7.044444444444444,No,0,2222510,30.53625672043,0,5903.5
357154485,Central_5,2023,9,21,2,3,560,1660,2.9642857142857144,No,0,831720,31.2740624999999,0,1388.4
357154485,Central_5,2023,10,22,2,4,280,340,1.2142857142857142,No,0,303520,30.6813508064518,0,204.20000000000002
357154485,Central_5,2023,11,23,2,4,520,40,0.07692307692307693,Sí,1,490300,28.8109027777778,0,0
357154485,Central_5,2023,12,24,2,4,380,0,0,Sí,1,390770,28.8266465053764,1,0
357154485,Central_5,2024,1,25,1,1,260,0,0,Sí,1,276790,30.0812900641025,1,0
